section,element,mrf_source_field,mrf_file,tier,description,policy_rationale,policy_team_include,policy_team_notes
A. Service identity,billing_code,in_network[].billing_code,in-network,CORE,"The procedure/service code itself (e.g., 99213, 27447, MS-DRG 470).","The unit of analysis. Everything joins to this.",,
A. Service identity,billing_code_type,in_network[].billing_code_type,in-network,CORE,"Code system: CPT, HCPCS, MS-DRG, APR-DRG, NDC, etc.","Same number means different things across systems; required to interpret the code.",,
A. Service identity,billing_code_type_version,in_network[].billing_code_type_version,in-network,RECOMMENDED,"Year/version of the code system.","Code definitions drift yearly; needed for clean time-series comparison.",,
A. Service identity,name / description,in_network[].name / .description,in-network,RECOMMENDED,"Payer's free-text label for the service.","Human readability and sanity-checking; not standardized so don't analyze on it.",,
A. Service identity,negotiation_arrangement,in_network[].negotiation_arrangement,in-network,CORE,"ffs | bundle | capitation.","Bundled/capitated rates are NOT comparable to fee-for-service; must segregate.",,
B. Price,negotiated_rate,negotiated_prices[].negotiated_rate,in-network,CORE,"The negotiated amount. Dollars for most types; a whole-number percent when type=percentage.","The headline variable for any price analysis.",,
B. Price,negotiated_type,negotiated_prices[].negotiated_type,in-network,CORE,"negotiated | derived | fee schedule | percentage | per diem.","MUST read before using the rate, or you mix dollars with percentages and per-diems.",,
B. Price,expiration_date,negotiated_prices[].expiration_date,in-network,RECOMMENDED,"Rate end date; 9999-12-31 = evergreen/no expiry.","Distinguishes active vs stale contract terms; filter the sentinel intentionally.",,
C. Care context,billing_class,negotiated_prices[].billing_class,in-network,CORE,"professional | institutional | both.","Professional (physician) vs institutional (facility) prices are different markets.",,
C. Care context,setting,negotiated_prices[].setting,in-network,RECOMMENDED,"inpatient | outpatient | both.","Site-of-care price differences are a major policy question.",,
C. Care context,service_code,negotiated_prices[].service_code,in-network,RECOMMENDED,"CMS place-of-service code(s); required for professional class.","Office vs facility vs ED location drives price; supports site-neutral analysis.",,
C. Care context,billing_code_modifier,negotiated_prices[].billing_code_modifier,in-network,OPTIONAL,"CPT/HCPCS modifiers.","Occasionally needed to disambiguate (e.g., bilateral, professional component).",,
C. Care context,severity_of_illness,in_network[].severity_of_illness,in-network,OPTIONAL,"DRG severity indicator (free text).","Relevant only for DRG-based inpatient analysis.",,
D. Provider,provider_group_id,provider_references[].provider_group_id,in-network,CORE,"Integer key linking a rate to a provider group (crosswalk join key).","The join backbone; rate rows carry only this id, not NPIs.",,
D. Provider,npi,provider_groups[].npi[],in-network,CORE,"National Provider Identifier(s); type-1 individual or type-2 org. [0] when TIN-only.","Identifies WHO is paid; lets us target specific TX systems/hospitals.",,
D. Provider,tin_type / tin_value,provider_groups[].tin,in-network,RECOMMENDED,"Tax ID (ein or npi) and value.","Group-level provider identity; useful when NPI rosters are incomplete.",,
D. Provider,business_name,provider_groups[].tin.business_name,in-network,RECOMMENDED,"Org name (required alongside EIN under schema 2.0).","Human-readable provider/system attribution.",,
D. Provider,network_name,provider_references[].network_name[],in-network,RECOMMENDED,"Network label(s) for the provider group (e.g., TX Blue Choice PPO).","Lets us scope to Texas networks and compare across networks.",,
E. Plan / payer,reporting_entity_name,header.reporting_entity_name,all,CORE,"The payer/issuer/TPA publishing the file.","Identifies the payer for cross-payer comparison.",,
E. Plan / payer,reporting_entity_type,header.reporting_entity_type,all,RECOMMENDED,"e.g., third-party administrator, health insurance issuer.","Self-funded vs fully-insured context.",,
E. Plan / payer,plan_id / plan_id_type,toc.reporting_plans[],table-of-contents,RECOMMENDED,"EIN or HIOS plan identifier.","Links rates to a specific employer plan or marketplace product.",,
E. Plan / payer,plan_market_type,toc.reporting_plans[].plan_market_type,table-of-contents,OPTIONAL,"group | individual.","Distinguishes employer vs individual-market products.",,
E. Plan / payer,plan_name / plan_sponsor_name,toc.reporting_plans[],table-of-contents,OPTIONAL,"Plan and employer-sponsor names.","Employer-level attribution (self-funded/ASO files).",,
F. Provenance (we add),source_file,derived,all,CORE,"MRF filename the row came from.","Reproducibility and debugging.",,
F. Provenance (we add),file_vintage / last_updated_on,header.last_updated_on,all,CORE,"Publication/last-updated date of the file.","Time dimension for trend analysis; which monthly drop this is.",,
F. Provenance (we add),schema_version,header.version,all,RECOMMENDED,"CMS schema version of the file.","Guards against silent structure changes across months/payers.",,
F. Provenance (we add),payer_id / state / network_tag,derived from config,all,RECOMMENDED,"Our internal payer id and TX/network tags.","Keeps the multi-payer, multi-month warehouse organized.",,
G. Out-of-network (optional module),allowed_amount,payments[].allowed_amount,allowed-amounts,OPTIONAL,"Dollars the plan paid an OON provider PLUS enrollee cost share.","OON benchmark; but suppressed when <20 claims, so sparse.",,
G. Out-of-network (optional module),billed_charge,providers[].billed_charge,allowed-amounts,OPTIONAL,"Total charges billed by the OON provider.","Charge-to-allowed ratios; markup analysis.",,
G. Out-of-network (optional module),tin / npi (OON),allowed_amounts[]/providers[],allowed-amounts,OPTIONAL,"Provider identifiers on the OON record.","Attribute OON amounts to providers.",,
